,cluster_0_lisket,cluster_0_LE,cluster_1_lisket,cluster_1_LE
0,0.5121951219512195,0.4878048780487805,0.4166666666666667,0.5833333333333334
1,0.5,0.5,0.4,0.6
2,0.6785714285714286,0.32142857142857145,0.6470588235294118,0.35294117647058826
3,0.5,0.5,0.6923076923076923,0.3076923076923077
4,0.5217391304347826,0.4782608695652174,0.6666666666666666,0.3333333333333333
5,0.7142857142857143,0.2857142857142857,0.25,0.75
6,0.717948717948718,0.28205128205128205,0.09090909090909091,0.9090909090909091
7,0.6666666666666666,0.3333333333333333,0.9285714285714286,0.07142857142857142
8,0.46153846153846156,0.5384615384615384,0.6,0.4
9,0.7777777777777778,0.2222222222222222,0.25,0.75
10,0.6666666666666666,0.3333333333333333,0.0,1.0
11,0.6060606060606061,0.3939393939393939,0.47368421052631576,0.5263157894736842
12,0.7692307692307693,0.23076923076923078,0.15384615384615385,0.8461538461538461
13,0.30434782608695654,0.6956521739130435,0.7368421052631579,0.2631578947368421
